English,Filipino-Correct,Filipino-Flawed,Remarks,Contributor
"Go home, change your diaper, think about your choices, and tell Eggman I'll deal with him later.","Umuwi ka na, magpalit ng diaper, magisip-isip ka, at sabihin mo kay Eggman kakalabanin ko siya mamaya.","Umuwi ka na, palitan mo ang iyong lampin, isipin ang iyong mga pagpipilian, at sabihin kay Eggman na haharapin ko siya mamaya.","Think about your choices is directly translated rather than as a euphamism for ""reflect on your actions""",Elijah Rosario/John Kirsten Espiritu
"Some blockhead bullies were picking on you for having an extra tail. I ran by, and they lost interest in being jerks.",May mga engot na bully na pumunta sa'yo dahil meron kang isa pang extrang buntot. Dinaanan ko sila. at nawalan silang interes sa pagiging loko.,"Kinukulit ka ng ilang blockhead na bully dahil sa pagkakaroon ng dagdag na buntot. Tumakbo ako, at nawalan sila ng interes sa pagiging jerks.","Tumakbo ako implies Sonic just ran in general. Versus ""I ran by"", which means he ran and came to help/fight Tails' bullies",Elijah Rosario/John Kirsten Espiritu
"Hey, I respect creaky old stuff, but poke me again, and I'll crack your antique shell, Egg-gramps.","Hoy, nirerespeto kong matandang mahihina, pero sundotin mo ulit ako at babasagin ko yang antiga mong shell, Egg-lolo","Uy, iginagalang ko ang mga lumalalangis na mga lumang bagay, ngunit sundutin muli ako, at babasagin ko ang iyong antigong shell, Egg-gramps.",,Elijah Rosario/John Kirsten Espiritu
"This guy right here is Shadow, and he's kinda my biggest rival. He's also a real buzz-kill.","Yang nakikita niyong iyan, siya si Shadow. Siya rin ang pinakahigpit kong karibal. At panira rin siya ng trip.","Ang lalaking ito dito ay si Shadow, at siya ang aking pinakamalaking karibal. Isa rin siyang totoong buzz-kill.","buzz-kill is not translated. also ""totoong buzzkill"" is too litteral.",Elijah Rosario/John Kirsten Espiritu
Stealth is not your thing. But it's adorable you're willing to try.,"Alam mong di ka magaling sa ganon, pero nakakabilib na gustong-gusto mong subukan.",Ang pagnanakaw ay hindi bagay sa iyo. Ngunit ito ay kaibig-ibig na handa kang subukan.,"Changing adorable to ""nakakabilib"" (impressive) changes the tone for this line. Rouge calling Knuckles ""cute"" is meant to have immasculating undertones. In the incorrect translation, stealth is refering to the act of being stealthy/quiet/hidden. Pagnanakaw is theft. wrong translation entirely.",Elijah Rosario/John Kirsten Espiritu
"You'e said a lot of weird stuff since I met you, and that's the weirdest. So, snap back to reality, grab that shard, and we'll sort the rest out later.","Marami kang kakaibang sinabi mula nung makilala kita at mahirap iyong ipaliwanag. Kaya umayos ka na diyan, kunin mo ang pirasong yan, at mamaya natin isipan ang gagagwin.","Marami kang sinabing kakaiba mula noong nakilala kita, at iyon ang pinakakakaiba. Kaya, bumalik sa realidad, kunin ang shard na iyon, at aayusin natin ang natitira sa ibang pagkakataon.",,Elijah Rosario/John Kirsten Espiritu
So I've got an adventure where you all tour my amazing magic chocolate factory and get killed off one by one from OSHA violations,Meron akong adventure dito na kung saan lilibutin ninyo ang aking magic chocolate factory at isa-isa kayong mamamatay dahil sa health violations,Kaya't mayroon akong isang pakikipagsapalaran kung saan nililibot ninyong lahat ang aking kamangha-manghang pabrika ng mahiwagang tsokolate at isa-isang pinapatay mula sa mga paglabag sa OSHA,"Here, OSHA violations is translated to Health Violations, since OSHA is an American government agency that Filipino viewers may not know of.",Elijah Rosario/John Kirsten Espiritu
One where a sentient cardiovascular system goes to war against the United States military,Isa na kung saan ang isang puso na may sariling pakiramdam ay nakipaggiyera sa Philippine Army,Isa kung saan ang isang sentient cardiovascular system ay napupunta sa digmaan laban sa militar ng Estados Unidos,The USA Military is changed for the Philippine Army to be more relatable with viewers. It doesn't change the meaning of the joke,Elijah Rosario/John Kirsten Espiritu
and one where you have to survive in a post-apocalyptic nuclear wasteland with a telepathic dog who's mean to you the whole time.,At isa kung saan kailangan niyong mabuhay sa isang post-apocalyptic na wasteland kasama ang isang telepathic na aso na laging badtrip sa'yo,at isa kung saan kailangan mong mabuhay sa isang post-apocalyptic nuclear wasteland na may telepatikong aso na masama sa iyo sa buong panahon.,"Use of ""badtrip"", while an english word, is a pretty common Filipino slang nowadays that's appropriate in this casual setting.",Elijah Rosario/John Kirsten Espiritu
"Eh, I thought a position of power suited you.","Eh, naisip ko lang na bagay sa'yo ang nasa gobyerno.","Eh, akala ko babagay sa iyo ang posisyon ng kapangyarihan.","Changed ""position of power"" which could mean any manegerial role to ""gobyerno"" which means government worker. Still, it doesn't change the essence that Jax is saying Pomni would be suited for a role that required a lot of discipline and order.",Elijah Rosario/John Kirsten Espiritu
"But first, let's welcome our special guest, here to sing the American national anthem. Oh say-","Bago' yan, narito ang panauhing pangdangal. para kantahin ang ating Pambansang Awit. Bayang-","Ngunit una, tanggapin natin ang ating espesyal na panauhin, dito upang kantahin ang pambansang awit ng Amerika. Oh sabihin-",The American national anthem is changed to the Filipino national anthem.,Elijah Rosario/John Kirsten Espiritu
"Well, hello, Stupidgatha! I hope you're ready to get completely annihilated!","Uy, hello Bobogatha! Handa ka na sana para matalo ng husto!","Well, hello, Stupidgatha! Sana ay handa ka nang tuluyang mapuksa!",Stupidgatha is translated to Bobogatha which correctly combines the word Stupid with Ragatha's name to mock her.,Elijah Rosario/John Kirsten Espiritu
Nobody loves you and you're going to die someday!,"Walang nagmamahal sa'yo, at sana mamatay ka na!",Walang nagmamahal sa iyo at mamamatay ka balang araw!,"The line ""You're going to die someday"" was changed to ""at Sana mamatay ka na"", which is more close to meaning ""I hope you die soon"" while the original was more of a reminder of mortality. Either way, the essence of the sentence (vicious mockery) is not lost.",Elijah Rosario/John Kirsten Espiritu
Hah! Get owned!,Hah! Mukha mo!,Hah! Pag-aari!,"Mukha mo is an appropriate substitution because it has the same essence  as ""Get owned!"". Both are very childish casual insults typically used in game-settings with the goal of teasing the opponent after beating them.",Elijah Rosario/John Kirsten Espiritu
"Well, after my lung cancer diagnosis, me and my junkie associate from a chemistry class I used to teach-","Well, matapos kong malaman na may cancer ako, yung isang adik mula sa chemistry class na tinuruan ko dati-","Buweno, pagkatapos ng diagnosis ng aking kanser sa baga, ako at ang aking junkie na kasama mula sa isang klase ng kimika na dati kong tinuturuan-","Main change is omitting Lung Cancer to just say Cancer, probably for the sake of time. The detail is not that important anyways as this line is meant to just be a reference to TV Show, Breaking Bad.",Elijah Rosario/John Kirsten Espiritu
"If you're gonna make --- up, at least be creative about it.","Kung magiging --- ka, pwede bang galing-galingan mo naman?","Kung gagawa ka ng mga ---, maging malikhain man lang tungkol dito.","Due to dubbing reasons, the censored swear word has to be at the same timing as the original English since its part of the joke in-universe.  The meaning is kept but the sentence is altered slightly to better fit in the Filipino context.",Elijah Rosario/John Kirsten Espiritu
The quick brown fox jumps over the lazy dog.,Ang mabilis na kayumangging soro ay lumundag sa ibabaw ng tamad na aso.,Ang mabilis brown fox talon sa tamad aso.,,Roi Victor Roberto / Alfonso Fermin
The government has declared a state of calamity.,Nagdeklara ang gobyerno ng state of calamity.,Ang gobyerno ay nag-declare ng isang state of calamity.,,Roi Victor Roberto / Alfonso Fermin
This project is a piece of cake.,Napakadali lang ng proyektong ito.,Ang proyektong ito ay isang piraso ng keyk.,,Roi Victor Roberto / Alfonso Fermin
What is your name?,Ano ang pangalan mo?,Ano ang iyong pangalan?,,Roi Victor Roberto / Alfonso Fermin
The new policy will be implemented next month.,Ang bagong polisiya ay ipatutupad sa susunod na buwan.,Ang bagong polisiya ay i-implement sa susunod na buwan.,,Roi Victor Roberto / Alfonso Fermin
I need to go to the pharmacy to buy medicine.,Kailangan kong pumunta sa parmasya para bumili ng gamot.,Kailangan ko punta parmasya bili gamot.,,Roi Victor Roberto / Alfonso Fermin
She is the apple of my eye.,Siya ang paborito ko / pinakamamahal ko.,Siya ang mansanas ng aking mata.,,Roi Victor Roberto / Alfonso Fermin
The meeting will start at 10 AM sharp.,Magsisimula ang pulong ng 10 AM sakto.,Ang meeting ay mag-start 10 AM sharp.,,Roi Victor Roberto / Alfonso Fermin
He delivered a powerful speech.,Nagbigay siya ng isang makapangyarihang talumpati.,Nag-deliver siya ng isang malakas na speech.,,Roi Victor Roberto / Alfonso Fermin
Please turn off the lights when you leave.,Pakiusap na patayin ang mga ilaw kapag aalis ka na.,Paki-off ang ilaw pag alis mo.,,Roi Victor Roberto / Alfonso Fermin
The weather is beautiful today.,Maganda ang panahon ngayon.,Ang weather ay beautiful ngayon.,,Roi Victor Roberto / Alfonso Fermin
Don't count your chickens before they hatch.,Huwag kang umasa hangga't hindi pa sigurado.,Huwag bilangin ang iyong manok bago sila mapisa.,,Roi Victor Roberto / Alfonso Fermin
The traffic is terrible this morning.,Napakabigat ng trapiko ngayong umaga.,Ang trapik ay terrible ngayong umaga.,,Roi Victor Roberto / Alfonso Fermin
I will go to the market to buy vegetables.,Pupunta ako sa palengke para bumili ng gulay.,Ako ay pupunta sa palengke para bili gulay.,,Roi Victor Roberto / Alfonso Fermin
He has a heart of gold.,Napakabuti ng kanyang puso. / Mabuti siyang tao.,Mayroon siyang puso na ginto.,,Roi Victor Roberto / Alfonso Fermin
The concert was cancelled due to the storm.,Kinansela ang konsiyerto dahil sa bagyo.,Ang concert ay na-cancel dahil sa storm.,,Roi Victor Roberto / Alfonso Fermin
Can you help me with this?,Matutulungan mo ba ako rito?,Pwede tulong sa akin dito?,,Roi Victor Roberto / Alfonso Fermin
The basketball player is very tall.,Napakatangkad ng manlalaro ng basketball.,Ang basketbolista ay very taas.,,Roi Victor Roberto / Alfonso Fermin
Education is the key to success.,Ang edukasyon ang susi sa tagumpay.,Edukasyon ay susi para success.,,Roi Victor Roberto / Alfonso Fermin
It's raining cats and dogs.,Napakalakas ng ulan.,Umuulan ng mga pusa at aso.,,Roi Victor Roberto / Alfonso Fermin
The president will address the nation tonight.,Magsasalita ang pangulo sa bansa ngayong gabi.,Ang presidente ay i-address ang nasyon ngayong gabi.,,Roi Victor Roberto / Alfonso Fermin
My flight was delayed for three hours.,Naantala ng tatlong oras ang aking biyahe sa eroplano.,Ang aking flight ay na-delay ng tatlong oras.,,Roi Victor Roberto / Alfonso Fermin
He hit the nail on the head.,Tumpak ang kanyang sinabi.,Tinamaan niya ang pako sa ulo.,,Roi Victor Roberto / Alfonso Fermin
The economy is expected to grow next year.,Inaasahang lalago ang ekonomiya sa susunod na taon.,Ang ekonomiya ay expected na mag-grow sa next year.,,Roi Victor Roberto / Alfonso Fermin
I am running a fever.,Nilalagnat ako. / May lagnat ako.,Tumatakbo ako ng lagnat.,,Roi Victor Roberto / Alfonso Fermin
She baked a delicious cake for my birthday.,Nagluto siya ng masarap na keyk para sa kaarawan ko.,Siya nag-bake masarap cake para sa aking birthday.,,Roi Victor Roberto / Alfonso Fermin
The old house is for sale.,Ipinagbibili ang lumang bahay.,Ang lumang bahay ay para benta.,,Roi Victor Roberto / Alfonso Fermin
The students are reviewing for their exams.,Nagrerepaso ang mga mag-aaral para sa kanilang pagsusulit.,Ang mga estudyante ay nagre-review para sa exams.,,Roi Victor Roberto / Alfonso Fermin
I am looking forward to the holidays.,Inaabangan ko na ang bakasyon.,Tinitingnan ko sa unahan ang mga holiday.,,Roi Victor Roberto / Alfonso Fermin
The movie was very exciting.,Nakakapanabik ang pelikula.,Ang pelikula ay very exciting.,,Roi Victor Roberto / Alfonso Fermin
We must work together to achieve our goals.,Kailangan nating magtulungan para maabot ang ating mga layunin.,Dapat tayo trabaho sama-sama para makuha goals.,,Roi Victor Roberto / Alfonso Fermin
His stomach is aching.,Sumasakit ang tiyan niya.,Ang kanyang tiyan ay sumasakit.,,Roi Victor Roberto / Alfonso Fermin
Let's cross that bridge when we get there.,Haharapin natin ang problemang iyan kapag nandiyan na.,Tawirin natin ang tulay na iyan pagdating doon.,,Roi Victor Roberto / Alfonso Fermin
The company is hiring new employees.,Ang kumpanya ay kumukuha ng mga bagong empleyado.,Ang kumpanya ay nag-hire ng mga bagong empleyado.,,Roi Victor Roberto / Alfonso Fermin
The water is deep.,Malalim ang tubig.,Ang tubig ay malalim.,,Roi Victor Roberto / Alfonso Fermin
You broke my heart.,Dinurog mo ang puso ko.,Sinira mo ang aking puso.,,Roi Victor Roberto / Alfonso Fermin
He has long fingers.,Mahahaba ang mga daliri niya.,Siya ay may mahabang mga daliri.,,Roi Victor Roberto / Alfonso Fermin
The flowers in the garden are beautiful.,Kay gaganda ng mga bulaklak sa hardin.,Ang mga bulaklak sa hardin ay magaganda.,,Roi Victor Roberto / Alfonso Fermin
The sun will rise again tomorrow.,Sisikat muli ang araw bukas.,Ang araw ay babangon muli bukas.,,Roi Victor Roberto / Alfonso Fermin
Thank you for your hard work.,Salamat sa iyong pagsisikap.,Salamat sa iyong mahirap na trabaho.,,Roi Victor Roberto / Alfonso Fermin
A stack follows the Last-In-First-Out principle.,Ang stack ay sumusunod sa prinsipyong Last-In-First-Out.,"Stack ay unang pumasok, unang labas.",,Camron Ong / Arvin Tan
The time complexity of binary search is O(log n).,Ang time complexity ng binary search ay O(log n).,Binary search ay mabilis kasi simpleng hanap.,,Camron Ong / Arvin Tan
Multithreading allows concurrent execution of code.,Pinapayagan ng multithreading ang sabayang pagpapatakbo ng code.,Multithreading ay maraming code na sabay-sabay.,,Camron Ong / Arvin Tan
Recursion solves problems by calling itself repeatedly.,Nalulutas ng recursion ang mga problema sa pamamagitan ng paulit-ulit na pagtawag sa sarili.,Recursion ay inuulit lang ang code palagi.,,Camron Ong / Arvin Tan
TCP ensures reliable transmission of data packets.,Tinitiyak ng TCP ang maasahang pagpapadala ng mga data packet.,Ang TCP ay nagpapadala lang ng data.,,Camron Ong / Arvin Tan
"In object-oriented programming, inheritance promotes code reuse.","Sa object-oriented programming, pinapalaganap ng inheritance ang muling paggamit ng code.",Inheritance ay nagpaparami ng code.,,Camron Ong / Arvin Tan
Deadlock occurs when processes wait on each other indefinitely.,Nangyayari ang deadlock kapag walang-hanggang naghihintayan ang mga proseso.,Deadlock ay kapag tumigil ang process.,,Camron Ong / Arvin Tan
A hash function maps data to fixed-size values.,Ang hash function ay nagmamapa ng data sa may nakatakdang laki ng halaga.,Hash ay gawing maliit ang data.,,Camron Ong / Arvin Tan
An operating system manages hardware and software resources.,Pinamamahalaan ng operating system ang mga hardware at software resource.,Operating system ay ginagamit para sa mga computer tools.,,Camron Ong / Arvin Tan
Big O notation describes the upper bound of an algorithm's growth.,Inilalarawan ng Big O notation ang pinakamataas na paglaki ng isang algoritmo.,Big O ay laki ng algo.,,Camron Ong / Arvin Tan
Pipelining improves CPU efficiency by overlapping tasks.,Pinapahusay ng pipelining ang kahusayan ng CPU sa pamamagitan ng sabayang gawain.,Pipelining ay ginagawa ang CPU na mabilis lang.,,Camron Ong / Arvin Tan
A race condition happens when threads access shared data unpredictably.,Nangyayari ang race condition kapag hindi kontrolado ang pag-access ng mga thread sa iisang data.,Race condition ay kapag may naunang thread.,,Camron Ong / Arvin Tan
The compiler translates source code into machine code.,Isinasalin ng compiler ang source code patungo sa machine code.,Compiler ay nagpapalit ng code para sa computer.,,Camron Ong / Arvin Tan
Virtual memory extends RAM by using disk storage.,Pinapalawak ng virtual memory ang RAM sa pamamagitan ng paggamit ng disk storage.,Virtual memory ay RAM sa loob ng disk.,,Camron Ong / Arvin Tan
SQL is used to query and manipulate relational databases.,Ginagamit ang SQL upang mag-query at mag-manipula ng mga relational database.,SQL ay tanong sa database lang.,,Camron Ong / Arvin Tan
The OS scheduler determines the order of process execution.,Ang scheduler ng OS ang nagtatakda ng pagkakasunod ng pagpapatakbo ng mga proseso.,Scheduler ay nagpapaandar ng apps.,,Camron Ong / Arvin Tan
Linked lists store data using nodes connected by pointers.,Ang linked list ay nag-iimbak ng data gamit ang mga node na pinagdugtong ng pointer.,Linked list ay parang listahan lang ng data.,,Camron Ong / Arvin Tan
Public key cryptography uses two keys: public and private.,Gumagamit ang public key cryptography ng dalawang susi: pampubliko at pribado.,Cryptography ay gumagamit ng password.,,Camron Ong / Arvin Tan
A finite automaton accepts strings that match a regular language.,Tumatanggap ang finite automaton ng mga string na tumutugma sa regular na wika.,Automaton ay tumatanggap lang ng text.,,Camron Ong / Arvin Tan
Garbage collection automatically reclaims unused memory.,Kusang kinukuha ng garbage collection ang memoryang hindi na ginagamit.,Garbage collector ay nagtanggal ng files.,,Camron Ong / Arvin Tan
A logic gate performs simple logical operations using binary inputs.,Ang logic gate ay gumaganap ng simpleng lohikal na operasyon gamit ang mga binary input.,Ang lohikang pinto ay gumagawa ng simpleng operasyon gamit ang binary input.,,Camron Ong / Arvin Tan
A firewall protects a network from unauthorized data access.,Pinoprotektahan ng firewall ang network laban sa hindi awtorisadong pag-access ng datos.,Pinoprotektahan ng pader ng apoy ang netwerk mula sa masasamang datos.,,Camron Ong / Arvin Tan
The boot process starts when the computer is powered on.,Nagsisimula ang boot process kapag binuksan ang kompyuter.,Nagsisimula ang proseso ng bota kapag binuksan ang kompyuter.,,Camron Ong / Arvin Tan
A network protocol defines rules for data exchange between devices.,Tinutukoy ng network protocol ang mga tuntunin sa pagpapalitan ng datos sa pagitan ng mga device.,Tinutukoy ng protokol ng netwerk ang mga patakaran sa pagpapalitan ng datos sa pagitan ng mga aparato.,,Camron Ong / Arvin Tan
Bandwidth measures the maximum data transfer rate of a network connection.,Sinusukat ng bandwidth ang pinakamataas na bilis ng pagpapadala ng datos sa isang koneksyon.,Sinusukat ng lapad ng banda ang pinaka-mataas na rate ng pagpapasa ng datos sa koneksyon ng netwerk.,,Camron Ong / Arvin Tan
A syntax error occurs when code violates the grammar rules of a programming language.,Nagaganap ang syntax error kapag lumalabag ang code sa grammar rules ng programming language.,Nagaganap ang kamaliang syntax kapag ang code ay lumalabag sa mga tuntunin ng gramatika ng wika ng pagprograma.,,Camron Ong / Arvin Tan
"A project is open-source when its code is something that people can review, modify, improve, and share.","Open-source ang isang proyekto kapag ang code nito ay maaaring suriin, baguhin, pahusayin at ibahagi ng mga tao.","Ang proyekto ay bukas-pinagkukunan kapag ang kodigo nito ay maaaring tingnan, palitan, pagandahin at ipamahagi ng mga indibidwal.",,Camron Ong / Arvin Tan
Disk fragmentation happens when files are divided into scattered pieces on a disk.,Nagaganap ang disk fragmentation kapag nagkakahiwa-hiwalay ang bahagi ng file sa disk.,Nagaganap ang pagkabasag-basag ng disk kapag ang mga file ay hinati sa nagkalat na mga piraso sa disk.,,Camron Ong / Arvin Tan
"In Discretionary Access Control, the owner can choose to give access to other users.","Sa Discretionary Access Control, maaaring piliin ng may-ari na magbigay ng access sa ibang mga user.","Sa Discretionary Kontrol ng Access, maaaring magdesisyon ang nagmamay-ari na bigyan ng akses ang ibang gumagamit.",,Camron Ong / Arvin Tan
A digital signature verifies the authenticity and integrity of digital messages.,Tinitiyak ng digital signature ang pagiging totoo at integridad ng digital na mensahe.,Tinitiyak ng dijital na pirma ang pagiging tunay at kabuuan ng digital na mensahe.,"Digital Signature is an established terminology in cryptography, not to be confused with E-signature.",Camron Ong / Arvin Tan
A message queue stores messages for asynchronous communication between systems.,Nag-iimbak ang message queue ng mensahe para sa asynchronous na komunikasyon sa pagitan ng mga sistema.,Ang pila ng mensahe ay nagtatabi ng mga mensahe para sa hindi sabayang komunikasyon sa pagitan ng mga sistema.,The bad translation may be acceptible in writing.,Camron Ong / Arvin Tan
Computing power has increased rapidly with the advancement of technology.,Mabilis na lumakas ang computing power kasabay ng pagsulong ng teknolohiya.,Mabilis na lumaki ang kapangyarihan sa pagkukwenta kasabay ng pag-angat ng makabagong teknolohiya.,,Camron Ong / Arvin Tan
User Experience Design aims to make technology intuitive and accessible.,Layunin ng User Experience Design na gawing madali at komportable ang paggamit ng teknolohiya.,Layunin ng disenyo ng karanasan ng gumagamit na gawing madaling gamitin at abot-kaya ang teknolohiya.,"The bad translation reads weirdly, but it is technically faithful and accurate.",Camron Ong / Arvin Tan
Large datasets require specialized tools for effective processing and analysis.,Nangangailangan ng mga espesyal na pamaraan ang mga malalaking dataset para sa epektibong pagproseso at pagsusuri.,Nangangailangan ng mga espesyal na diskarte ang malalaking dataset para sa epektibong pagproseso at pagsusuri.,,Camron Ong / Arvin Tan
An IP address acts as an identification for a device on a network.,Ang IP address ay nagsisilbing isang pagkakakilanlan para sa isang device sa isang network.,Ang IP address ay gumaganap bilang isang pagkakakilanlan para sa isang aparato sa isang network.,,Camron Ong / Arvin Tan
Virtualization enables multiple operating systems to run on the same physical machine.,Binibigyan-daan ng virtualization ang maramihang operating system upang gumana sa isang pisikal na sistema.,Pinapayagan ng virtualization ang maramihang operating system na gumana sa isang pisikal na sistema.,,Camron Ong / Arvin Tan
Data security is a fundamental concern in modern digital systems.,Isa sa mga pangunahing problema sa makabagong sistema ang data security.,Isa sa mga pangunahing usapin sa makabagong sistema ang data security.,,Camron Ong / Arvin Tan
Access control restricts who can view or use resources within a system.,Nililimitahan ng access control kung sino-sino ang maaaring makakita o gumamit ng resources sa loob ng sistema.,Nililimitahan ng access control kung sino-sino ang maaaring makakita o gumamit ng kayamanan ng sistema.,,Camron Ong / Arvin Tan
A logic bomb is a malicious program triggered by specific conditions.,Isang uri ng malware ang logic bomb na pinapagana sa ilalim ng tiyak na kondisyon.,Isang uri ng malware ang logic bomb na na-activate sa ilalim ng tiyak na kondisyon.,,Camron Ong / Arvin Tan
"A hybrid cloud runs applications using a combination of computing, storage, and services from different virtual environments.","Ang hybrid cloud ay nagpapatakbo ng mga application gamit ang kumbinasyon ng computing, storage, at mga serbisyo mula sa iba't ibang virtual na environment.","Ang hybrid cloud ay nagpapatakbo ng mga application gamit ang kumbinasyon ng computing, storage, at mga serbisyo mula sa iba't ibang virtual na kapaligiran.",,Camron Ong / Arvin Tan
People die when they are killed.,Namamatay ang mga tao 'pag pinapatay.,Namatay ang tao kapag napatay.,Seems like it's stating it as a past event rather than a general fact.,Lanz Lim / Tyler Tan
"Sometimes, it takes a real man to become best girl.","Minsan, kailangan ng tunay na lalaki para maging best girl.","Minsan, isang tunay na lalaki ang nagiging best girl.","""Best girl"" is a standalone phrase that should stay put as a sort of loanword. Interestingly, Google Translate kept it intact.",Lanz Lim / Tyler Tan
"I don't know everything, just what I know.",Hindi ko alam ang lahat—alam ko lang ang alam ko.,"Hindi ko alam ang lahat, ang alam ko lang ay ang nalalaman ko.","The use of ""nalalaman"" seems a bit stinted and unnatural.",Lanz Lim / Tyler Tan
Do you not have even the slightest trace of human dignity?,Wala ka bang kahit kaunting dignidad bilang tao?,Wala ka bang kahit konting pagkamakatao?,The idea of dignity vanished in the wrong translation.,Lanz Lim / Tyler Tan
"In that instant, I understand that God had died. The light was lost, and an age of darkness began.","Sa sandaling iyon, naunawaan ko na namatay na ang Diyos. Nawala ang liwanag, at nagsimula ang panahon ng kadiliman.","Sa sandaling iyon, naiintindihan ko na ang Diyos ay namatay. Nawala ang liwanag, at nagsimula ang panahon ng kadiliman.","Unnatural use of ""ay"" instead of the alternate, more natural ordering of words.",Lanz Lim / Tyler Tan
For all these years... I've wanted to taste this soup again!,Sa lahat ng taong lumipas... Nais kong matikman muli ang sabaw na ito!,"Sa lahat ng mga taon na ito, gusto kong matikman muli ang sopas na ito!","Having ""taong lumipas"" is (for me) more natural than directly translating the phrase.",Lanz Lim / Tyler Tan
"Ideals without power are nonsense, and power without ideals is empty, right?","Ang mga ideyal na walang kapangyarihan ay walang kwenta, at ang kapangyarihang walang ideyal ay walang laman, di ba?","Ang mga pangarap na walang lakas ay walang kabuluhan, at ang lakas na walang pangarap ay walang saysay, di ba?","Usage of the related but not exactly correct translations for ""ideal"" and ""power"", being wrongly mapped as ""pangarap"" and ""lakas"" respectively. ",Lanz Lim / Tyler Tan
"I’m not a bad slime, you know!","Di ako masamang slime, ha!","Hindi ako masamang slime, alam mo!","""Alam mo"" is not the best translation for ""you know"".",Lanz Lim / Tyler Tan
I have faith in the wildflower blooming in concrete.,May tiwala ako sa wildflower na namumulaklak sa semento.,Naniniwala ako sa ligaw na bulaklak na namumulaklak sa semento.,"Wildflower was wrongly translated as ""ligaw na bulaklak"".",Lanz Lim / Tyler Tan
Those kind of depressing stories are the worst! I like cliches! And I’m not afraid to say it!,Yung mga nakakalungkot na kwento—ayoko n’un! Mas gusto ko ang mga cliché! At hindi ako nahihiyang sabihin 'yon!,Ang mga ganyang nakalulungkot na kwento ang pinakamasama! Gusto ko ang mga cliché! At hindi ako natatakot sabihin ito!,"Even if the ""wrong"" translate is technically more correct, it doesn't feel natural nor convey the same emotion.",Lanz Lim / Tyler Tan
"If you believe in the Creator, you better start praying.","Kung naniniwala ka sa Diyos, magdasal ka na.","Kung naniniwala ka sa Lumikha, mas mainam na magsimula ka nang manalangin.","The second phrase is too direct with its translation. Additionally, Lumikha might be a more direct translation of ""Creator"" but Diyos is more commonly used as for God/Creator. Since the Philippines is a majority catholic God and Creator mostly means the same.",Lanz Lim / Tyler Tan
It was an honor fighting together with you.,Karangalan na makipaglaban kasama mo.,Isang karangalan ang pakikipaglaban sa inyo.,"Confused the idea of fighting ""against"" and fighting ""with"".",Lanz Lim / Tyler Tan
Assassin? They really exist?!,Asasin? Totoo pala sila?!,Assassin? Tunay ba silang umiiral?!,"Although technically correct, the flawed translation is way too formal and therefore sounds wholly unnatural.",Lanz Lim / Tyler Tan
Human beings have the power to change the world—they just forgot that for a bit.,Kaya naman ng tao baguhin ang mundo—nakalimutan lang nila 'yon nang saglit.,May kakayahan naman ang mga tao na baguhin ang mundo. Nakalimutan lang nila.,"Using the noun ""kakayahan"" makes this translation too formal. Furthermore, the second sentence lost the idea of them forgetting ""for a bit"".",Lanz Lim / Tyler Tan
I would go all the way to the moon to take her back.,"Kahit sa buwan pa siya, pupuntahan ko para lang maibalik ko siya.",Pupunta ako hanggang sa buwan para ibalik siya.,Doesn't capture the emotional weight of the original statement.,Lanz Lim / Tyler Tan
"It might not resonate with all, but for those that it does, it'll hit deep.","Hindi ito tatama sa lahat, pero para sa mga makaka-relate, lalalim talaga ang tama.","Maaaring hindi ito magtugma sa lahat, ngunit sa mga matutugmaan nito, tatagos ito nang malalim.","Overly formal for the sentence in question. Unnaturally uses ""tugma"" instead of ""tama"" for the idea of being ""hit"".",Lanz Lim / Tyler Tan
"If you were to die tomorrow, I'd be fine with tomorrow being the last day of my life.","Kung mamamatay ka bukas, ayos lang sa’kin na bukas na rin ang huli kong araw.","Kung bukas ay mamamatay ka, ayos lang sa akin na maging huling araw ko rin ang bukas.","Usage of ""sa'kin"" is more natural. Ending of sentence with ""ang bukas"" is off.",Lanz Lim / Tyler Tan
"If you can't be medicine, be poison. Otherwise, you're just plain water.","Kung hindi ka gamot, maging lason ka. Kung di, hanggang tubig ka lang.","Kung hindi ka pwedeng gamot, maging lason ka. Kung hindi, isa ka lang simpleng tubig.","""...isa ka lang simpleng tubig."" incorrectly implies that water can be counted, funnily enough. ",Lanz Lim / Tyler Tan
"I won't cry. I'm your mom, after all!","Di ako iiyak. Nanay mo ako, eh!","Hindi ako iiyak. Ako ang nanay mo, pagkatapos ng lahat!","Unnatural word ordering. Also wrongly translated the phrase ""after all"" quite literally into ""pagkatapos ng lahat"".",Lanz Lim / Tyler Tan
"People don't change easily, no matter how many chances they get to start over.","Hindi basta-basta nagbabago ang tao, kahit pa paulit-ulit silang bigyan ng panibagong simula.","Ang mga tao ay hindi madaling magbago, gaano man karaming pagkakataon ang kanilang makukuha upang magsimulang muli.","Seems too formal, with the use of words like ""pagkakataon"" and ""upang"".",Lanz Lim / Tyler Tan
"I'm scared. If I tell them, they might not come back here.","Natatakot ako eh. Kapag sinabi ko sa kanila, baka hindi na sila bumalik dito.","Takot ako. Kung sasabihin ko sila, siguro hindi na sila balik dito.","sila needs to ba ""sa kanila"", balik is not properly affixed should be ""babalik"".",Lanz Lim / Tyler Tan
